ticket,time_setup,time_setup_msc,time_done,time_done_msc,time_expiration,type,type_time,type_filling,state,magic,position_id,position_by_id,reason,volume_initial,volume_current,price_open,sl,tp,price_current,price_stoplimit,symbol,comment,external_id
1,1767351600,1767351600000,1767636000,1767636000000,0,0,0,0,4,1001,1,0,,0.01,0.01,1.15456,0.0,0.0,1.17149,0.0,EURUSD,,0
2,1767636000,1767636000000,1767718800,1767718800000,0,1,0,0,4,1001,2,0,,0.01,0.01,1.15448,0.0,0.0,1.16954,0.0,EURUSD,,0
3,1767718800,1767718800000,1768201200,1768201200000,0,0,0,0,4,1001,3,0,,0.01,0.01,1.15456,0.0,0.0,1.16692,0.0,EURUSD,,0
4,1768201200,1768201200000,1768273200,1768273200000,0,1,0,0,4,1001,4,0,,0.01,0.01,1.15448,0.0,0.0,1.16586,0.0,EURUSD,,0
5,1768273200,1768273200000,1768575600,1768575600000,0,0,0,0,4,1001,5,0,,0.01,0.01,1.15456,0.0,0.0,1.16186,0.0,EURUSD,,0
6,1768575600,1768575600000,1768582800,1768582800000,0,1,0,0,4,1001,6,0,,0.01,0.01,1.15448,0.0,0.0,1.1593499999999999,0.0,EURUSD,,0
7,1768582800,1768582800000,1768827600,1768827600000,0,0,0,0,4,1001,7,0,,0.01,0.01,1.15456,0.0,0.0,1.1628,0.0,EURUSD,,0
8,1768827600,1768827600000,1769043600,1769043600000,0,1,0,0,4,1001,8,0,,0.01,0.01,1.15448,0.0,0.0,1.1673,0.0,EURUSD,,0
9,1769043600,1769043600000,1769086800,1769086800000,0,0,0,0,4,1001,9,0,,0.01,0.01,1.15456,0.0,0.0,1.17026,0.0,EURUSD,,0
10,1769086800,1769086800000,1769169600,1769169600000,0,1,0,0,4,1001,10,0,,0.01,0.01,1.15448,0.0,0.0,1.17344,0.0,EURUSD,,0
11,1769169600,1769169600000,1769191200,1769191200000,0,0,0,0,4,1001,11,0,,0.01,0.01,1.15456,0.0,0.0,1.17707,0.0,EURUSD,,0
12,1769191200,1769191200000,1769598000,1769598000000,0,1,0,0,4,1001,12,0,,0.01,0.01,1.15448,0.0,0.0,1.19868,0.0,EURUSD,,0
13,1769598000,1769598000000,1769666400,1769666400000,0,0,0,0,4,1001,13,0,,0.01,0.01,1.15456,0.0,0.0,1.199,0.0,EURUSD,,0
14,1769666400,1769666400000,1769760000,1769760000000,0,1,0,0,4,1001,14,0,,0.01,0.01,1.15448,0.0,0.0,1.19191,0.0,EURUSD,,0
